date,FEZ Price,EWJ Price,Z-Score,long_size,long_etf
2002-10-22,12.568131446838379,20.39431381225586,-1.0841517657790274,54207588.28895137,EWJ
2002-10-23,12.250082969665527,20.72715950012207,-0.9572865524582399,47864327.622912,nan
2002-10-24,12.198787689208984,20.39431381225586,-1.0121632965053133,50608164.82526567,EWJ
2002-10-25,12.337285995483398,20.84819793701172,-0.9506917220326823,47534586.101634115,nan
2002-10-28,12.52709674835205,20.84819793701172,-0.987687570123924,49384378.5061962,nan
2002-10-29,12.209037780761719,20.787675857543945,-0.9374912801515299,46874564.007576495,nan
2002-10-30,12.537352561950684,21.18104362487793,-0.9248118594288893,46240592.971444465,nan
2002-10-31,12.645079612731934,20.90871238708496,-0.9988886885726995,49944434.42863498,nan
2002-11-01,12.824625015258789,21.30207633972168,-0.9572135016857479,47860675.0842874,nan
2002-11-04,13.034954071044922,21.392852783203125,-0.9805153969519028,49025769.84759514,nan
2002-11-05,13.43507194519043,21.786216735839844,-0.9818317978953849,49091589.894769244,nan
2002-11-06,13.368391036987305,21.816476821899414,-0.96293711335642,48146855.667821,nan
2002-11-07,12.809236526489258,21.362592697143555,-0.9424189543977469,47120947.719887346,nan
2002-11-08,12.701515197753906,21.15079116821289,-0.9627051353307964,48135256.76653982,nan
2002-11-11,12.557868003845215,20.666641235351562,-1.0290722268393617,51453611.34196809,EWJ
2002-11-12,12.670732498168945,20.84819793701172,-1.0156834886922186,50784174.434610926,EWJ
2002-11-13,12.598917961120605,20.696910858154297,-1.0311734124176053,51558670.62088026,EWJ
2002-11-14,13.106765747070312,20.72715950012207,-1.1242618445123334,56213092.22561667,EWJ
2002-11-15,13.245277404785156,21.02975082397461,-1.092281220066402,54614061.003320105,EWJ
2002-11-18,13.173453330993652,20.39431381225586,-1.202134525628305,60106726.28141525,EWJ
2002-11-19,13.096508026123047,20.09172821044922,-1.2461138788659207,62305693.94329604,EWJ
2002-11-20,13.240144729614258,20.60612678527832,-1.1738490062876377,58692450.31438188,EWJ
2002-11-21,13.583845138549805,20.96923065185547,-1.1700670953025931,58503354.765129656,EWJ
2002-11-22,13.604368209838867,20.90871238708496,-1.1858627913454083,59293139.56727041,EWJ
2002-11-25,13.491504669189453,21.30207633972168,-1.0871944326872254,54359721.63436127,EWJ
2002-11-26,12.896443367004395,21.02975082397461,-1.0242902823784723,51214514.11892361,EWJ
2002-11-27,13.532544136047363,21.513883590698242,-1.0539102330059593,52695511.65029797,EWJ
2002-11-29,13.532544136047363,21.665180206298828,-1.024421141777542,51221057.0888771,EWJ
2002-12-02,13.563325881958008,21.48362922668457,-1.0658067278921206,53290336.39460603,EWJ
2002-12-03,13.255534172058105,21.271814346313477,-1.04709996785949,52354998.3929745,EWJ
2002-12-04,13.404301643371582,20.878456115722656,-1.1527652150116792,57638260.75058396,EWJ
2002-12-05,12.978522300720215,20.666641235351562,-1.1110615885110091,55553079.42555045,EWJ
2002-12-06,13.142677307128906,20.84819793701172,-1.1076698392854067,55383491.96427034,EWJ
2002-12-09,12.598917961120605,20.60612678527832,-1.0488680567855564,52443402.83927782,EWJ
2002-12-10,12.911835670471191,20.757421493530273,-1.0803698547939828,54018492.73969914,EWJ
2002-12-11,12.98364543914795,20.63638687133789,-1.117956986618805,55897849.330940254,EWJ
2002-12-12,12.870792388916016,20.72715950012207,-1.078268483335911,53913424.16679555,EWJ
2002-12-13,12.716899871826172,20.60612678527832,-1.0718638079746263,53593190.39873131,EWJ
2002-12-16,13.301705360412598,20.72715950012207,-1.1622573543197636,58112867.71598818,EWJ
2002-12-17,13.117026329040527,20.57587242126465,-1.15574895801433,57787447.900716506,EWJ
2002-12-18,12.793851852416992,20.00094985961914,-1.2048169574294048,60240847.871470235,EWJ
2002-12-19,12.557868003845215,20.303537368774414,-1.0998444843970065,54992224.219850324,EWJ
2002-12-20,13.014427185058594,20.515350341796875,-1.147547754113261,57377387.705663055,EWJ
2002-12-23,12.896443367004395,20.424579620361328,-1.1422436732148904,57112183.66074452,EWJ
2002-12-24,12.901575088500977,20.57587242126465,-1.113755544861459,55687777.24307294,EWJ
2002-12-26,13.096508026123047,20.878456115722656,-1.092773429851539,54638671.49257695,EWJ
2002-12-27,12.588653564453125,20.787675857543945,-1.0114818610550442,50574093.05275221,EWJ
2002-12-30,12.855402946472168,21.12052345275879,-0.9985987160406702,49929935.80203351,nan
2002-12-31,12.855402946472168,21.02975082397461,-1.0162911298506827,50814556.49253414,EWJ
2003-01-02,13.394041061401367,21.423112869262695,-1.0446067617235222,52230338.08617611,EWJ
2003-01-03,13.37864875793457,21.392852783203125,-1.0475046282455336,52375231.41227668,EWJ
2003-01-06,13.706955909729004,21.786216735839844,-1.0348244640035802,51741223.20017901,EWJ
2003-01-07,13.706955909729004,21.090267181396484,-1.1704713839289802,58523569.19644901,EWJ
2003-01-08,13.204228401184082,20.81793785095215,-1.125564676228355,56278233.81141776,EWJ
2003-01-09,13.296573638916016,21.15079116821289,-1.0786874564687279,53934372.823436394,EWJ
2003-01-10,13.409430503845215,20.938976287841797,-1.1419689428287754,57098447.14143877,EWJ
2003-01-13,13.583845138549805,20.938976287841797,-1.1759639469731697,58798197.34865849,EWJ
2003-01-14,13.66079330444336,21.33233642578125,-1.1142923658053698,55714618.29026849,EWJ
2003-01-15,13.54280948638916,21.513883590698242,-1.055911043476962,52795552.1738481,EWJ
2003-01-16,13.419692039489746,21.72569465637207,-0.9906304195643657,49531520.97821829,nan
2003-01-17,13.02469253540039,21.604663848876953,-0.9372314201516728,46861571.00758364,nan
